122,1684.2147879884506
119,1692.8600435063925
118,1696.198903371947
117,1704.503353406041
115,1722.7154278357154
114,1737.6401952132992
110,1740.4708519866235
109,1756.086684061817
108,1779.636209117478
107,1798.46663761793
104,1843.771173323244
97,1849.1623729601663
96,1857.764526008286
93,1887.0957747394636
90,1931.4297974803712
87,1986.606000364911
86,2016.812497274322
82,2067.956308680624
78,2103.3672548780955
77,2154.220714012211
75,2183.3550769463677
73,2196.6837901040226
71,2253.7049579348973
70,2265.193969655704
68,2311.928558749778
67,2416.869634210047
65,2466.8951803410787
64,2497.5306572787536
61,2554.409811405578
59,2590.017352001149
58,2619.607872987317
57,2645.87905810299
55,2729.682362437331
54,2763.2412902691976
53,2867.1266987676563
52,2904.080836777333
49,2975.9057239131625
46,3205.803183715368
43,3347.8996286237893
42,3640.4079727599137
41,3673.3392255239182
40,3819.647335126439
39,3909.5388813622026
38,4124.571166168685
35,4385.658862453658
33,4796.76052475396
32,5239.283630699802
30,5557.800242190877
29,6089.800610430389
28,6506.745991649708
27,7050.482150751113
26,7940.319405339133
25,9331.46110534434
