103,2004.850555368689
100,2054.7469228931045
91,2055.0853376850177
89,2069.543173038719
87,2094.592556764768
86,2107.1587419870216
84,2129.9444088813016
82,2157.635691544751
81,2178.3926214885046
80,2191.525222427542
79,2219.855400983068
77,2259.6798962395337
75,2297.3415136337685
73,2345.058458144857
71,2349.656331245781
67,2439.324427178552
65,2451.546506145336
64,2523.7282166125674
61,2694.645585769791
58,2786.195976071864
57,3030.633804871198
54,3051.605371150657
52,3114.8492923179224
50,3146.041353025807
48,3263.1331737891574
46,3350.8358918973213
43,3522.9325036261284
41,3647.9004621661056
40,3764.1828106791786
38,3998.512492263677
34,4304.1083788678125
32,4611.533254452243
30,4948.308802993908
29,5449.597250479267
27,5475.578066478778
26,5919.40467462057
25,6121.419396715009
24,6256.82815901026
23,6973.499979939634
22,7158.829112577799
21,7996.499380188403
20,9243.829059045178
19,10068.823247593631
18,12009.219571725567
