93,2013.5445679443344
89,2052.0657564999105
88,2096.6372258018123
83,2100.6150573214745
76,2191.945925720408
73,2223.985720654287
72,2246.1915693313904
69,2308.6655746180486
68,2409.217564939885
67,2435.516517545837
65,2441.3741195518105
64,2449.849078377795
61,2486.002795592337
60,2519.971516095377
58,2666.4728762288973
56,2671.89903485684
54,2830.1516590627484
52,2903.3804113361657
50,2977.0558352225644
49,3055.6934118853424
48,3209.371403554396
46,3246.3499578774777
45,3403.690371082809
44,3430.4053598858827
43,3534.8944037394504
42,3626.21971133361
41,3740.6929973639694
40,3854.387997191381
39,3958.736687304395
38,3966.999296501154
37,4021.577619752422
35,4184.813646718446
34,4519.21233902835
33,4541.765179410628
31,4760.934875206157
30,5179.278876376946
29,5259.937282683993
28,5704.208273463905
27,6008.940013062481
26,6119.715792461171
25,6994.6090989162285
23,7277.284421512622
22,9229.92890174239
