[0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 13, 1, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 24, 0]
[5, 0, 0, 0, 7, 0, 0, 0, 2, 7, 0, 0, 2, 0, 0, 7, 0, 0, 2, 0, 2, 0, 0, 9, 0, 0, 0, 0, 6, 0, 0, 6, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 3, 0, 0, 1, 0, 0, 10, 16, 0, 0, 0, 0, 3, 0, 0, 9, 0, 0, 0, 0, 0, 9, 2, 2, 0, 1, 0, 3, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 8, 0, 0, 3, 0, 0, 0, 5, 0, 0, 5, 0, 0, 6, 0, 0, 4, 1, 0, 0, 6, 11, 0, 2, 0, 6, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 2, 0, 0, 0, 9, 2, 4, 9, 1, 0, 5, 0, 0, 2, 0, 0, 2, 0, 0, 0, 6, 0, 7, 0, 0, 0, 7, 0, 0, 9, 0, 0, 2, 0, 0, 0, 0, 0, 0, 12, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 5, 0, 3, 0, 0, 0, 0, 6, 0, 0, 0, 4, 0, 0, 4, 0, 1, 0, 0, 8, 0, 0, 2, 0, 6, 0, 0, 0, 7, 0, 0, 1, 0, 0, 0, 5, 0, 6, 0, 0, 4, 0, 0, 4, 4, 0, 0, 2, 3, 4, 0, 0, 4, 0, 0, 9, 0, 0, 0, 0, 5, 0, 0, 0, 6, 0, 0, 0, 1, 0, 0, 7, 0, 8, 0]
[5, 0, 0, 0, 7, 0, 0, 0, 2, 7, 0, 0, 2, 0, 0, 7, 0, 0, 2, 0, 2, 0, 0, 9, 0, 0, 0, 0, 6, 0, 0, 6, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 3, 0, 0, 1, 0, 0, 10, 16, 0, 0, 0, 0, 3, 0, 0, 9, 0, 0, 0, 0, 0, 9, 2, 2, 0, 1, 0, 3, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 8, 0, 0, 3, 0, 0, 0, 5, 0, 0, 5, 0, 0, 6, 0, 0, 4, 1, 0, 0, 6, 11, 0, 2, 0, 6, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 2, 0, 0, 0, 9, 2, 4, 9, 1, 0, 5, 0, 0, 2, 0, 0, 2, 0, 0, 0, 6, 0, 7, 0, 0, 0, 7, 0, 0, 9, 0, 0, 2, 0, 0, 0, 0, 0, 0, 12, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 5, 0, 3, 0, 0, 0, 0, 6, 0, 0, 0, 4, 0, 0, 4, 0, 1, 0, 0, 8, 0, 0, 2, 0, 6, 0, 0, 0, 7, 0, 0, 1, 0, 0, 0, 5, 0, 6, 0, 0, 4, 0, 0, 4, 4, 0, 0, 2, 3, 4, 0, 0, 4, 0, 0, 9, 0, 0, 0, 0, 5, 0, 0, 0, 6, 0, 0, 0, 1, 0, 0, 7, 0, 8, 0]
[0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 13, 1, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 24, 0]
[0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 23, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 13, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 20, 0]
[0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 8, 9, 0, 0, 0, 13, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 11, 2, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 10, 0]
[5, 0, 0, 0, 7, 0, 0, 0, 2, 7, 0, 0, 2, 0, 0, 7, 0, 0, 0, 4, 0, 0, 0, 10, 0, 0, 0, 0, 5, 0, 0, 7, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 3, 0, 0, 1, 0, 0, 10, 16, 0, 0, 0, 0, 3, 0, 0, 9, 0, 0, 0, 0, 0, 9, 2, 2, 0, 1, 0, 3, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 8, 0, 0, 3, 0, 0, 0, 5, 0, 0, 5, 0, 0, 6, 0, 0, 4, 0, 0, 0, 9, 8, 0, 4, 0, 4, 0, 0, 0, 0, 0, 14, 0, 0, 0, 3, 3, 0, 0, 0, 8, 2, 4, 9, 0, 0, 7, 0, 0, 1, 0, 0, 3, 0, 0, 0, 5, 0, 8, 0, 0, 0, 6, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 0, 6, 0, 0, 0, 0, 3, 0, 2, 0, 2, 0, 0, 6, 0, 0, 0, 0, 0, 10, 0, 0, 0, 9, 0, 0, 0, 4, 0, 0, 3, 0, 0, 0, 3, 0, 8, 0, 0, 2, 0, 5, 0, 0, 5, 0, 1, 4, 3, 0, 0, 5, 0, 0, 8, 0, 0, 0, 0, 6, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 7, 0, 8, 0]
[0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 5, 21, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 0, 0, 4, 13, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 15, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 8, 0]
[5, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 9, 0, 0, 0, 0, 6, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 0, 0, 0, 6, 0, 0, 5, 21, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 0, 0, 4, 13, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 15, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 6, 0, 0, 0, 8, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 10, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 2, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 9, 0]
[5, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 9, 0, 0, 0, 0, 6, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 2, 0, 0, 1, 0, 0, 10, 16, 0, 0, 0, 0, 3, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 4, 0, 0, 7, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 14, 0, 0, 0, 8, 0, 0, 0, 0, 0, 10, 0, 0, 0, 7, 1, 0, 0, 0, 10, 0, 8, 5, 0, 0, 11, 0, 0, 0, 0, 0, 2, 0, 0, 0, 6, 0, 7, 0, 0, 0, 7, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 0, 6, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 11, 0, 0, 0, 8, 0, 0, 0, 5, 0, 0, 2, 0, 0, 0, 4, 0, 7, 0, 0, 3, 0, 4, 0, 0, 6, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 7, 0, 8, 0]
