Gen:        Individual:       Power:        Sensors:      Fairness:       Fitness
5             21              7.37475         57            19.5          2.34 
5             22              10.69525        40            28.0          4.81 
5             23              8.2125          47            19.0          2.88 
5             24              8.78275         49            20.5          2.8  
5             25              7.22125         52            16.5          1.42 
5             26              8.09075         48            26            4.92 
5             27              12.03175        33            39.5          4.32 
5             28              7.6825          46            18            2.43 
5             29              8.0775          48            20.0          2.5  
5             30              7.32625         53            17.0          1.62 
5             31              12.25425        32            30.5          3.39 
5             32              7.485           47            18.0          2.56 
5             33              7.80425         55            21.0          4.05 
5             34              9.785           37            25.0          3.89 
5             35              9.3185          39            24.5          4.62 
5             36              12.498          37            31.0          8.34 
6             1               9.882           42            28            7.87 
6             2               8.3905          44            20.5          3.93 
6             3               9.79575         42            25.0          5.62 
6             4               10.696          40            35.5          7.56 
6             5               7.824           49            26            2.92 
6             6               7.28425         53            26            2.41 
6             7               7.5805          56            17.5          1.74 
6             8               7.1805          53            17.5          0.99 
6             9               11.28275        33            27.5          4.34 
6             10              11.3945         35            28            4.56 
6             11              8.47375         46            29            3.39 
6             12              10.29725        34            28.5          3.77 
6             13              8.68925         51            25.5          3.44 
6             14              7.105           54            18            1.24 
6             15              7.17            56            17.0          1.01 
6             16              10.023          37            26.0          3.78 
6             17              8.71875         40            26.0          2.8  
6             18              8.54125         44            20.5          2.29 
6             19              7.30175         50            17.0          1.42 
6             20              9.956           41            28.5          4.3  
6             21              7.37475         57            19.5          2.34 
6             22              12.87175        29            30.5          3.0  
6             23              8.2125          47            19.0          2.96 
6             24              8.78275         49            20.5          2.85 
6             25              7.22125         52            16.5          1.44 
6             26              7.6755          49            26            4.85 
6             27              12.03175        33            39.5          4.58 
6             28              7.6825          46            18            2.51 
6             29              8.0775          48            20.0          2.54 
6             30              7.32625         53            17.0          1.64 
6             31              11.7995         32            27.5          3.15 
6             32              7.485           47            18.0          2.64 
6             33              7.80425         55            21.0          4.08 
6             34              9.785           37            25.0          4.12 
6             35              9.3185          39            24.5          4.72 
6             36              12.498          37            31.0          8.57 
7             1               8.4655          44            28            6.43 
7             2               8.34425         44            20.0          3.92 
7             3               9.79575         42            25.0          5.69 
7             4               9.9475          38            32            6.03 
7             5               7.824           49            26            2.95 
7             6               7.20475         54            26            2.35 
7             7               7.5805          56            17.5          1.75 
7             8               7.1805          53            17.5          1.0  
7             9               11.143          31            27.5          3.94 
7             10              11.02           34            31.0          4.46 
7             11              8.65525         43            24.0          2.9  
7             12              10.29725        34            28.5          3.84 
7             13              8.68925         51            25.5          3.47 
7             14              7.105           54            18            1.25 
7             15              7.17            56            17.0          1.02 
7             16              9.71975         37            27.5          3.95 
7             17              8.2105          40            23.5          2.44 
7             18              8.54125         44            20.5          2.35 
7             19              7.30175         50            17.0          1.45 
7             20              9.956           41            28.5          4.34 
7             21              7.37475         57            19.5          2.35 
7             22              10.16825        32            28.0          2.59 
7             23              8.2125          47            19.0          2.96 
7             24              8.78275         49            20.5          2.85 
7             25              7.22125         52            16.5          1.44 
7             26              8.184           44            26            4.77 
7             27              12.03175        33            39.5          4.58 
7             28              7.6825          46            18            2.51 
7             29              8.0775          48            20.0          2.54 
7             30              7.32625         53            17.0          1.64 
7             31              11.7995         32            27.5          3.15 
7             32              7.485           47            18.0          2.64 
7             33              7.80425         55            21.0          4.08 
7             34              9.785           37            25.0          4.12 
7             35              9.3185          39            24.5          4.72 
7             36              11.77625        31            29.0          5.97 
8             1               8.28325         45            28            6.42 
8             2               8.34425         44            20.0          3.92 
8             3               9.79575         42            25.0          5.69 
8             4               9.9475          38            32            6.03 
8             5               7.824           49            26            2.95 
8             6               7.20475         54            26            2.35 
8             7               7.5805          56            17.5          1.75 
8             8               7.1805          53            17.5          1.0  
