Gen:        Individual:       Power:        Sensors:      Fairness:       Fitness
28            18              8.20625         39            18            1.76 
28            19              7.30175         50            17.0          1.6  
28            20              9.49125         41            22.5          2.97 
28            21              7.37475         57            19.5          2.4  
28            22              9.63475         33            22.5          3.43 
28            23              9.22425         40            21.0          3.01 
28            24              8.78275         49            20.5          3.0  
28            25              7.22125         52            16.5          1.58 
28            26              7.98525         45            26            4.88 
28            27              10.62925        31            26.0          3.52 
28            28              7.6825          46            18            2.89 
28            29              8.0775          48            20.0          2.75 
28            30              7.32625         53            17.0          1.77 
28            31              13.23875        25            28.5          3.16 
28            32              7.485           47            18.0          3.01 
28            33              7.80425         55            21.0          4.2  
28            34              12.30025        27            26.0          3.52 
28            35              9.481           35            23.5          4.36 
28            36              9.69275         35            25.0          6.25 
29            1               8.708           40            28            6.47 
29            2               8.34425         44            20.0          4.16 
29            3               9.188           38            24.0          4.35 
29            4               9.323           37            23.5          4.25 
29            5               7.824           49            26            2.98 
29            6               7.20475         54            26            2.42 
29            7               7.5805          56            17.5          1.74 
29            8               7.1805          53            17.5          1.06 
29            9               11.1995         30            25.0          4.66 
29            10              8.70925         38            23.5          3.15 
29            11              8.82175         41            24.0          3.04 
29            12              9.39175         37            22.5          2.85 
29            13              9.33775         40            22.5          2.98 
29            14              7.105           54            18            1.34 
29            15              7.17            56            17.0          1.08 
29            16              9.7145          32            23.0          3.47 
29            17              8.11075         40            22.0          2.73 
29            18              8.20625         39            18            1.76 
29            19              7.30175         50            17.0          1.6  
29            20              9.49125         41            22.5          2.97 
29            21              7.37475         57            19.5          2.4  
29            22              9.63475         33            22.5          3.43 
29            23              9.22425         40            21.0          3.01 
29            24              8.78275         49            20.5          3.0  
29            25              7.22125         52            16.5          1.58 
29            26              7.98525         45            26            4.88 
29            27              10.62925        31            26.0          3.52 
29            28              7.6825          46            18            2.89 
29            29              8.0775          48            20.0          2.75 
29            30              7.32625         53            17.0          1.77 
29            31              13.23875        25            28.5          3.16 
29            32              7.485           47            18.0          3.01 
29            33              7.80425         55            21.0          4.2  
29            34              12.30025        27            26.0          3.52 
29            35              9.481           35            23.5          4.36 
29            36              9.69275         35            25.0          6.25 
30            1               8.708           40            28            6.47 
30            2               8.34425         44            20.0          4.16 
30            3               9.188           38            24.0          4.35 
30            4               9.323           37            23.5          4.25 
30            5               7.824           49            26            2.98 
30            6               7.20475         54            26            2.42 
30            7               7.5805          56            17.5          1.74 
30            8               7.1805          53            17.5          1.06 
30            9               11.1995         30            25.0          4.66 
30            10              8.70925         38            23.5          3.15 
30            11              8.82175         41            24.0          3.04 
30            12              9.39175         37            22.5          2.85 
30            13              9.33775         40            22.5          2.98 
30            14              7.105           54            18            1.34 
30            15              7.17            56            17.0          1.08 
30            16              9.7145          32            23.0          3.47 
30            17              8.11075         40            22.0          2.73 
30            18              8.20625         39            18            1.76 
30            19              7.30175         50            17.0          1.6  
30            20              9.49125         41            22.5          2.97 
30            21              7.37475         57            19.5          2.4  
30            22              9.63475         33            22.5          3.43 
30            23              9.22425         40            21.0          3.01 
30            24              8.78275         49            20.5          3.0  
30            25              7.22125         52            16.5          1.58 
30            26              7.98525         45            26            4.88 
30            27              10.62925        31            26.0          3.52 
30            28              7.6825          46            18            2.89 
30            29              8.0775          48            20.0          2.75 
30            30              7.32625         53            17.0          1.77 
30            31              13.23875        25            28.5          3.16 
30            32              7.485           47            18.0          3.01 
30            33              7.80425         55            21.0          4.2  
30            34              12.30025        27            26.0          3.52 
30            35              9.481           35            23.5          4.36 
30            36              9.69275         35            25.0          6.25 
31            1               8.708           40            28            6.47 
31            2               8.34425         44            20.0          4.16 
31            3               9.188           38            24.0          4.35 
31            4               9.323           37            23.5          4.25 
31            5               7.824           49            26            2.98 
31            6               7.20475         54            26            2.42 
31            7               7.5805          56            17.5          1.74 
31            8               7.1805          53            17.5          1.06 
31            9               11.1995         30            25.0          4.66 
31            10              8.70925         38            23.5          3.15 
31            11              8.82175         41            24.0          3.04 
31            12              9.39175         37            22.5          2.85 
31            13              9.33775         40            22.5          2.98 
31            14              7.105           54            18            1.34 
31            15              7.17            56            17.0          1.08 
31            16              9.7145          32            23.0          3.47 
31            17              8.11075         40            22.0          2.73 
31            18              8.20625         39            18            1.76 
31            19              7.30175         50            17.0          1.6  
31            20              9.49125         41            22.5          2.97 
31            21              7.37475         57            19.5          2.4  
31            22              9.63475         33            22.5          3.43 
31            23              9.22425         40            21.0          3.01 
31            24              8.78275         49            20.5          3.0  
31            25              7.22125         52            16.5          1.58 
31            26              7.98525         45            26            4.88 
31            27              10.62925        31            26.0          3.52 
31            28              7.6825          46            18            2.89 
31            29              8.0775          48            20.0          2.75 
31            30              7.32625         53            17.0          1.77 
31            31              13.23875        25            28.5          3.16 
31            32              7.485           47            18.0          3.01 
31            33              7.80425         55            21.0          4.2  
31            34              12.30025        27            26.0          3.52 
31            35              9.481           35            23.5          4.36 
31            36              9.69275         35            25.0          6.25 
32            1               8.708           40            28            6.47 
32            2               8.34425         44            20.0          4.16 
32            3               9.188           38            24.0          4.35 
32            4               9.323           37            23.5          4.25 
32            5               7.824           49            26            2.98 
32            6               7.20475         54            26            2.42 
32            7               7.5805          56            17.5          1.74 
32            8               7.1805          53            17.5          1.06 
32            9               11.1995         30            25.0          4.66 
32            10              8.70925         38            23.5          3.15 
32            11              8.82175         41            24.0          3.04 
32            12              9.39175         37            22.5          2.85 
32            13              9.33775         40            22.5          2.98 
32            14              7.105           54            18            1.34 
32            15              7.17            56            17.0          1.08 
32            16              9.7145          32            23.0          3.47 
32            17              8.11075         40            22.0          2.73 
32            18              8.20625         39            18            1.76 
32            19              7.30175         50            17.0          1.6  
32            20              9.49125         41            22.5          2.97 
32            21              7.37475         57            19.5          2.4  
32            22              9.63475         33            22.5          3.43 
32            23              9.22425         40            21.0          3.01 
32            24              8.78275         49            20.5          3.0  
32            25              7.22125         52            16.5          1.58 
32            26              7.98525         45            26            4.88 
32            27              10.62925        31            26.0          3.52 
32            28              7.6825          46            18            2.89 
32            29              8.0775          48            20.0          2.75 
32            30              7.32625         53            17.0          1.77 
32            31              13.23875        25            28.5          3.16 
32            32              7.485           47            18.0          3.01 
32            33              7.80425         55            21.0          4.2  
32            34              12.30025        27            26.0          3.52 
32            35              9.481           35            23.5          4.36 
32            36              9.69275         35            25.0          6.25 
33            1               8.708           40            28            6.47 
33            2               8.34425         44            20.0          4.16 
33            3               9.188           38            24.0          4.35 
33            4               9.323           37            23.5          4.25 
33            5               7.824           49            26            2.98 
33            6               7.20475         54            26            2.42 
33            7               7.5805          56            17.5          1.74 
33            8               7.1805          53            17.5          1.06 
33            9               11.1995         30            25.0          4.66 
33            10              8.70925         38            23.5          3.15 
33            11              8.82175         41            24.0          3.04 
33            12              9.39175         37            22.5          2.85 
33            13              9.33775         40            22.5          2.98 
33            14              7.105           54            18            1.34 
33            15              7.17            56            17.0          1.08 
33            16              9.7145          32            23.0          3.47 
33            17              8.11075         40            22.0          2.73 
33            18              8.20625         39            18            1.76 
33            19              7.30175         50            17.0          1.6  
33            20              9.49125         41            22.5          2.97 
33            21              7.37475         57            19.5          2.4  
33            22              9.63475         33            22.5          3.43 
33            23              9.22425         40            21.0          3.01 
33            24              8.78275         49            20.5          3.0  
33            25              7.22125         52            16.5          1.58 
33            26              7.98525         45            26            4.88 
33            27              10.62925        31            26.0          3.52 
33            28              7.6825          46            18            2.89 
33            29              8.0775          48            20.0          2.75 
33            30              7.32625         53            17.0          1.77 
33            31              13.23875        25            28.5          3.16 
33            32              7.485           47            18.0          3.01 
33            33              7.80425         55            21.0          4.2  
33            34              12.30025        27            26.0          3.52 
33            35              9.481           35            23.5          4.36 
33            36              9.69275         35            25.0          6.25 
34            1               8.708           40            28            6.47 
34            2               8.34425         44            20.0          4.16 
34            3               9.188           38            24.0          4.35 
34            4               9.323           37            23.5          4.25 
34            5               7.824           49            26            2.98 
34            6               7.20475         54            26            2.42 
34            7               7.5805          56            17.5          1.74 
34            8               7.1805          53            17.5          1.06 
34            9               11.1995         30            25.0          4.66 
34            10              8.70925         38            23.5          3.15 
34            11              8.82175         41            24.0          3.04 
34            12              9.39175         37            22.5          2.85 
34            13              9.33775         40            22.5          2.98 
34            14              7.105           54            18            1.34 
34            15              7.17            56            17.0          1.08 
34            16              9.7145          32            23.0          3.47 
34            17              8.11075         40            22.0          2.73 
34            18              8.20625         39            18            1.76 
34            19              7.30175         50            17.0          1.6  
34            20              9.49125         41            22.5          2.97 
34            21              7.37475         57            19.5          2.4  
34            22              9.63475         33            22.5          3.43 
34            23              9.22425         40            21.0          3.01 
34            24              8.78275         49            20.5          3.0  
34            25              7.22125         52            16.5          1.58 
34            26              7.98525         45            26            4.88 
34            27              10.62925        31            26.0          3.52 
34            28              7.6825          46            18            2.89 
34            29              8.0775          48            20.0          2.75 
34            30              7.32625         53            17.0          1.77 
34            31              13.23875        25            28.5          3.16 
34            32              7.485           47            18.0          3.01 
34            33              7.80425         55            21.0          4.2  
34            34              12.30025        27            26.0          3.52 
34            35              9.481           35            23.5          4.36 
34            36              9.69275         35            25.0          6.25 
35            1               8.708           40            28            6.47 
35            2               8.34425         44            20.0          4.16 
35            3               9.188           38            24.0          4.35 
35            4               9.323           37            23.5          4.25 
35            5               7.824           49            26            2.98 
35            6               7.20475         54            26            2.42 
35            7               7.5805          56            17.5          1.74 
35            8               7.1805          53            17.5          1.06 
35            9               11.1995         30            25.0          4.66 
35            10              8.70925         38            23.5          3.15 
35            11              8.82175         41            24.0          3.04 
35            12              9.39175         37            22.5          2.85 
35            13              9.33775         40            22.5          2.98 
35            14              7.105           54            18            1.34 
35            15              7.17            56            17.0          1.08 
35            16              9.7145          32            23.0          3.47 
35            17              8.11075         40            22.0          2.73 
35            18              8.20625         39            18            1.76 
35            19              7.30175         50            17.0          1.6  
35            20              9.49125         41            22.5          2.97 
35            21              7.37475         57            19.5          2.4  
35            22              9.63475         33            22.5          3.43 
35            23              9.22425         40            21.0          3.01 
35            24              8.78275         49            20.5          3.0  
35            25              7.22125         52            16.5          1.58 
35            26              7.98525         45            26            4.88 
35            27              10.62925        31            26.0          3.52 
35            28              7.6825          46            18            2.89 
35            29              8.0775          48            20.0          2.75 
35            30              7.32625         53            17.0          1.77 
35            31              13.23875        25            28.5          3.16 
35            32              7.485           47            18.0          3.01 
35            33              7.80425         55            21.0          4.2  
35            34              12.30025        27            26.0          3.52 
35            35              9.481           35            23.5          4.36 
35            36              9.69275         35            25.0          6.25 
36            1               8.708           40            28            6.47 
36            2               8.34425         44            20.0          4.16 
36            3               9.188           38            24.0          4.35 
36            4               9.323           37            23.5          4.25 
36            5               7.824           49            26            2.98 
36            6               7.20475         54            26            2.42 
36            7               7.5805          56            17.5          1.74 
36            8               7.1805          53            17.5          1.06 
36            9               11.1995         30            25.0          4.66 
36            10              8.70925         38            23.5          3.15 
36            11              8.82175         41            24.0          3.04 
36            12              9.39175         37            22.5          2.85 
36            13              9.33775         40            22.5          2.98 
36            14              7.105           54            18            1.34 
36            15              7.17            56            17.0          1.08 
36            16              9.7145          32            23.0          3.47 
36            17              8.11075         40            22.0          2.73 
36            18              8.20625         39            18            1.76 
36            19              7.30175         50            17.0          1.6  
36            20              9.49125         41            22.5          2.97 
36            21              7.37475         57            19.5          2.4  
36            22              9.63475         33            22.5          3.43 
36            23              9.22425         40            21.0          3.01 
36            24              8.78275         49            20.5          3.0  
36            25              7.22125         52            16.5          1.58 
36            26              7.98525         45            26            4.88 
36            27              10.62925        31            26.0          3.52 
36            28              7.6825          46            18            2.89 
36            29              8.0775          48            20.0          2.75 
36            30              7.32625         53            17.0          1.77 
36            31              13.23875        25            28.5          3.16 
36            32              7.485           47            18.0          3.01 
36            33              7.80425         55            21.0          4.2  
36            34              12.30025        27            26.0          3.52 
36            35              9.481           35            23.5          4.36 
36            36              9.69275         35            25.0          6.25 
37            1               8.708           40            28            6.47 
37            2               8.34425         44            20.0          4.16 
37            3               9.188           38            24.0          4.35 
37            4               9.323           37            23.5          4.25 
37            5               7.824           49            26            2.98 
37            6               7.20475         54            26            2.42 
37            7               7.5805          56            17.5          1.74 
37            8               7.1805          53            17.5          1.06 
37            9               11.1995         30            25.0          4.66 
37            10              8.70925         38            23.5          3.15 
37            11              8.82175         41            24.0          3.04 
37            12              9.39175         37            22.5          2.85 
37            13              9.33775         40            22.5          2.98 
37            14              7.105           54            18            1.34 
37            15              7.17            56            17.0          1.08 
37            16              9.7145          32            23.0          3.47 
37            17              8.11075         40            22.0          2.73 
37            18              8.20625         39            18            1.76 
37            19              7.30175         50            17.0          1.6  
37            20              9.49125         41            22.5          2.97 
37            21              7.37475         57            19.5          2.4  
37            22              9.63475         33            22.5          3.43 
37            23              9.22425         40            21.0          3.01 
37            24              8.78275         49            20.5          3.0  
37            25              7.22125         52            16.5          1.58 
37            26              7.98525         45            26            4.88 
37            27              10.62925        31            26.0          3.52 
37            28              7.6825          46            18            2.89 
37            29              8.0775          48            20.0          2.75 
37            30              7.32625         53            17.0          1.77 
37            31              13.23875        25            28.5          3.16 
37            32              7.485           47            18.0          3.01 
37            33              7.80425         55            21.0          4.2  
37            34              12.30025        27            26.0          3.52 
37            35              9.481           35            23.5          4.36 
37            36              9.69275         35            25.0          6.25 
38            1               8.708           40            28            6.47 
38            2               8.34425         44            20.0          4.16 
38            3               9.188           38            24.0          4.35 
38            4               9.323           37            23.5          4.25 
38            5               7.824           49            26            2.98 
38            6               7.20475         54            26            2.42 
38            7               7.5805          56            17.5          1.74 
38            8               7.1805          53            17.5          1.06 
38            9               11.1995         30            25.0          4.66 
38            10              8.70925         38            23.5          3.15 
38            11              8.82175         41            24.0          3.04 
38            12              9.39175         37            22.5          2.85 
38            13              9.33775         40            22.5          2.98 
38            14              7.105           54            18            1.34 
38            15              7.17            56            17.0          1.08 
38            16              9.7145          32            23.0          3.47 
38            17              8.11075         40            22.0          2.73 
38            18              8.20625         39            18            1.76 
38            19              7.30175         50            17.0          1.6  
38            20              9.49125         41            22.5          2.97 
38            21              7.37475         57            19.5          2.4  
38            22              9.63475         33            22.5          3.43 
38            23              9.22425         40            21.0          3.01 
38            24              8.78275         49            20.5          3.0  
38            25              7.22125         52            16.5          1.58 
38            26              7.98525         45            26            4.88 
38            27              10.62925        31            26.0          3.52 
38            28              7.6825          46            18            2.89 
38            29              8.0775          48            20.0          2.75 
38            30              7.32625         53            17.0          1.77 
38            31              13.23875        25            28.5          3.16 
38            32              7.485           47            18.0          3.01 
38            33              7.80425         55            21.0          4.2  
38            34              12.30025        27            26.0          3.52 
38            35              9.481           35            23.5          4.36 
38            36              9.69275         35            25.0          6.25 
39            1               8.708           40            28            6.47 
39            2               8.34425         44            20.0          4.16 
39            3               9.188           38            24.0          4.35 
39            4               9.323           37            23.5          4.25 
39            5               7.824           49            26            2.98 
39            6               7.20475         54            26            2.42 
39            7               7.5805          56            17.5          1.74 
39            8               7.1805          53            17.5          1.06 
39            9               11.1995         30            25.0          4.66 
39            10              8.70925         38            23.5          3.15 
39            11              8.82175         41            24.0          3.04 
39            12              9.39175         37            22.5          2.85 
39            13              9.33775         40            22.5          2.98 
39            14              7.105           54            18            1.34 
39            15              7.17            56            17.0          1.08 
39            16              9.7145          32            23.0          3.47 
39            17              8.11075         40            22.0          2.73 
39            18              8.20625         39            18            1.76 
39            19              7.30175         50            17.0          1.6  
39            20              9.49125         41            22.5          2.97 
39            21              7.37475         57            19.5          2.4  
39            22              9.63475         33            22.5          3.43 
39            23              9.22425         40            21.0          3.01 
39            24              8.78275         49            20.5          3.0  
39            25              7.22125         52            16.5          1.58 
39            26              7.98525         45            26            4.88 
39            27              10.62925        31            26.0          3.52 
39            28              7.6825          46            18            2.89 
39            29              8.0775          48            20.0          2.75 
39            30              7.32625         53            17.0          1.77 
39            31              13.23875        25            28.5          3.16 
39            32              7.485           47            18.0          3.01 
39            33              7.80425         55            21.0          4.2  
39            34              12.30025        27            26.0          3.52 
39            35              9.481           35            23.5          4.36 
39            36              9.69275         35            25.0          6.25 
40            1               8.708           40            28            6.47 
40            2               8.34425         44            20.0          4.16 
40            3               9.188           38            24.0          4.35 
40            4               9.323           37            23.5          4.25 
40            5               7.824           49            26            2.98 
40            6               7.20475         54            26            2.42 
40            7               7.5805          56            17.5          1.74 
40            8               7.1805          53            17.5          1.06 
40            9               11.1995         30            25.0          4.66 
40            10              8.70925         38            23.5          3.15 
40            11              8.82175         41            24.0          3.04 
40            12              9.39175         37            22.5          2.85 
40            13              9.33775         40            22.5          2.98 
40            14              7.105           54            18            1.34 
40            15              7.17            56            17.0          1.08 
40            16              9.7145          32            23.0          3.47 
40            17              8.11075         40            22.0          2.73 
40            18              8.20625         39            18            1.76 
40            19              7.30175         50            17.0          1.6  
40            20              9.49125         41            22.5          2.97 
40            21              7.37475         57            19.5          2.4  
40            22              9.63475         33            22.5          3.43 
40            23              9.22425         40            21.0          3.01 
40            24              8.78275         49            20.5          3.0  
40            25              7.22125         52            16.5          1.58 
40            26              7.98525         45            26            4.88 
40            27              10.62925        31            26.0          3.52 
40            28              7.6825          46            18            2.89 
40            29              8.0775          48            20.0          2.75 
40            30              7.32625         53            17.0          1.77 
40            31              13.23875        25            28.5          3.16 
40            32              7.485           47            18.0          3.01 
40            33              7.80425         55            21.0          4.2  
40            34              12.30025        27            26.0          3.52 
40            35              9.481           35            23.5          4.36 
40            36              9.69275         35            25.0          6.25 
41            1               8.708           40            28            6.47 
41            2               8.34425         44            20.0          4.16 
41            3               9.188           38            24.0          4.35 
41            4               9.323           37            23.5          4.25 
41            5               7.824           49            26            2.98 
41            6               7.20475         54            26            2.42 
41            7               7.5805          56            17.5          1.74 
41            8               7.1805          53            17.5          1.06 
41            9               11.1995         30            25.0          4.66 
41            10              8.70925         38            23.5          3.15 
41            11              8.82175         41            24.0          3.04 
41            12              9.39175         37            22.5          2.85 
41            13              9.33775         40            22.5          2.98 
41            14              7.105           54            18            1.34 
41            15              7.17            56            17.0          1.08 
41            16              9.7145          32            23.0          3.47 
41            17              8.11075         40            22.0          2.73 
41            18              8.20625         39            18            1.76 
41            19              7.30175         50            17.0          1.6  
41            20              9.49125         41            22.5          2.97 
41            21              7.37475         57            19.5          2.4  
41            22              9.63475         33            22.5          3.43 
41            23              9.22425         40            21.0          3.01 
41            24              8.78275         49            20.5          3.0  
41            25              7.22125         52            16.5          1.58 
41            26              7.98525         45            26            4.88 
41            27              10.62925        31            26.0          3.52 
41            28              7.6825          46            18            2.89 
41            29              8.0775          48            20.0          2.75 
41            30              7.32625         53            17.0          1.77 
41            31              13.23875        25            28.5          3.16 
41            32              7.485           47            18.0          3.01 
41            33              7.80425         55            21.0          4.2  
41            34              12.30025        27            26.0          3.52 
41            35              9.481           35            23.5          4.36 
41            36              9.69275         35            25.0          6.25 
42            1               8.708           40            28            6.47 
42            2               8.34425         44            20.0          4.16 
42            3               9.188           38            24.0          4.35 
42            4               9.323           37            23.5          4.25 
42            5               7.824           49            26            2.98 
42            6               7.20475         54            26            2.42 
42            7               7.5805          56            17.5          1.74 
42            8               7.1805          53            17.5          1.06 
42            9               11.1995         30            25.0          4.66 
42            10              8.70925         38            23.5          3.15 
42            11              8.82175         41            24.0          3.04 
42            12              9.39175         37            22.5          2.85 
42            13              9.33775         40            22.5          2.98 
42            14              7.105           54            18            1.34 
42            15              7.17            56            17.0          1.08 
42            16              9.7145          32            23.0          3.47 
42            17              8.11075         40            22.0          2.73 
42            18              8.20625         39            18            1.76 
42            19              7.30175         50            17.0          1.6  
42            20              9.49125         41            22.5          2.97 
42            21              7.37475         57            19.5          2.4  
42            22              9.63475         33            22.5          3.43 
42            23              9.22425         40            21.0          3.01 
42            24              8.78275         49            20.5          3.0  
42            25              7.22125         52            16.5          1.58 
42            26              7.98525         45            26            4.88 
42            27              10.62925        31            26.0          3.52 
42            28              7.6825          46            18            2.89 
42            29              8.0775          48            20.0          2.75 
42            30              7.32625         53            17.0          1.77 
42            31              13.23875        25            28.5          3.16 
42            32              7.485           47            18.0          3.01 
42            33              7.80425         55            21.0          4.2  
42            34              12.30025        27            26.0          3.52 
42            35              9.481           35            23.5          4.36 
42            36              9.69275         35            25.0          6.25 
43            1               8.708           40            28            6.47 
43            2               8.34425         44            20.0          4.16 
43            3               9.188           38            24.0          4.35 
43            4               9.323           37            23.5          4.25 
43            5               7.824           49            26            2.98 
43            6               7.20475         54            26            2.42 
43            7               7.5805          56            17.5          1.74 
43            8               7.1805          53            17.5          1.06 
43            9               11.1995         30            25.0          4.66 
43            10              8.70925         38            23.5          3.15 
43            11              8.82175         41            24.0          3.04 
43            12              9.39175         37            22.5          2.85 
43            13              9.33775         40            22.5          2.98 
43            14              7.105           54            18            1.34 
43            15              7.17            56            17.0          1.08 
43            16              9.7145          32            23.0          3.47 
43            17              8.11075         40            22.0          2.73 
43            18              8.20625         39            18            1.76 
43            19              7.30175         50            17.0          1.6  
43            20              9.49125         41            22.5          2.97 
43            21              7.37475         57            19.5          2.4  
43            22              9.63475         33            22.5          3.43 
43            23              9.22425         40            21.0          3.01 
43            24              8.78275         49            20.5          3.0  
43            25              7.22125         52            16.5          1.58 
43            26              7.98525         45            26            4.88 
43            27              10.62925        31            26.0          3.52 
43            28              7.6825          46            18            2.89 
43            29              8.0775          48            20.0          2.75 
43            30              7.32625         53            17.0          1.77 
43            31              13.23875        25            28.5          3.16 
43            32              7.485           47            18.0          3.01 
43            33              7.80425         55            21.0          4.2  
43            34              12.30025        27            26.0          3.52 
43            35              9.481           35            23.5          4.36 
43            36              9.69275         35            25.0          6.25 
44            1               8.708           40            28            6.47 
44            2               8.34425         44            20.0          4.16 
44            3               9.188           38            24.0          4.35 
44            4               9.323           37            23.5          4.25 
