32, 10000, 100_1, 0, 237.20610070228577
32, 10000, 100_1, 1, 239.31288862228394
32, 10000, 100_1, 2, 236.99600791931152
32, 10000, 100_1, 3, 237.38148593902588
32, 10000, 100_1, 4, 238.60224390029907
32, 10000, 100_1, 5, 237.3176531791687
32, 10000, 100_1, 6, 236.8698434829712
32, 10000, 100_1, 7, 237.32530450820923
32, 10000, 100_1, 8, 236.45385026931763
32, 10000, 100_1, 9, 240.22983360290527
32, 10000, 100_0, 0, 211.96318888664246
32, 10000, 100_0, 1, 210.68566179275513
32, 10000, 100_0, 2, 215.0759506225586
32, 10000, 100_0, 3, 212.68808317184448
32, 10000, 100_0, 4, 216.0334370136261
32, 10000, 100_0, 5, 210.9087278842926
32, 10000, 100_0, 6, 216.98477506637573
32, 10000, 100_0, 7, 212.14234614372253
32, 10000, 100_0, 8, 217.84894251823425
32, 10000, 100_0, 9, 215.07657861709595
32, 10000, 300_0, 0, 213.31230449676514
32, 10000, 300_0, 1, 213.1586937904358
32, 10000, 300_0, 2, 213.95527029037476
32, 10000, 300_0, 3, 213.96796250343323
32, 10000, 300_0, 4, 214.23246359825134
32, 10000, 300_0, 5, 216.1805064678192
32, 10000, 300_0, 6, 215.34070944786072
32, 10000, 300_0, 7, 216.7158808708191
32, 10000, 300_0, 8, 222.29801201820374
32, 10000, 300_0, 9, 649.2373549938202
32, 10000, 300_1, 0, 401.5131697654724
32, 10000, 300_1, 1, 409.2809042930603
32, 10000, 300_1, 2, 407.86230206489563
32, 10000, 300_1, 3, 407.8646025657654
32, 10000, 300_1, 4, 411.808890581131
32, 10000, 300_1, 5, 306.6022412776947
32, 10000, 300_1, 6, 209.8075304031372
32, 10000, 300_1, 7, 205.90904307365417
32, 10000, 300_1, 8, 205.5923204421997
32, 10000, 300_1, 9, 643.7814178466797
32, 10000, 300_2, 0, 205.8162751197815
32, 10000, 300_2, 1, 202.68746185302734
32, 10000, 300_2, 2, 383.37689113616943
32, 10000, 300_2, 3, 414.86071395874023
32, 10000, 300_2, 4, 421.7119686603546
32, 10000, 300_2, 5, 424.6706404685974
32, 10000, 300_2, 6, 426.52161860466003
32, 10000, 300_2, 7, 419.14256858825684
32, 10000, 300_2, 8, 417.3575859069824
32, 10000, 300_2, 9, 11034.831701278687
32, 10000, 300_3, 0, 193.68141150474548
32, 10000, 300_3, 1, 193.71069622039795
32, 10000, 300_3, 2, 194.8065493106842
32, 10000, 300_3, 3, 197.25365829467773
32, 10000, 300_3, 4, 207.49997782707214
32, 10000, 300_3, 5, 220.2799162864685
32, 10000, 300_3, 6, 218.60865592956543
32, 10000, 300_3, 7, 212.47127842903137
32, 10000, 300_3, 8, 202.49782133102417
32, 10000, 300_3, 9, 207.97031617164612
32, 10000, 300_4, 0, 223.43070220947266
32, 10000, 300_4, 1, 221.0910840034485
32, 10000, 300_4, 2, 222.59977912902832
32, 10000, 300_4, 3, 221.63903856277466
32, 10000, 300_4, 4, 225.17248463630676
32, 10000, 300_4, 5, 224.4397714138031
32, 10000, 300_4, 6, 223.32361841201782
32, 10000, 300_4, 7, 226.92091155052185
32, 10000, 300_4, 8, 224.1738805770874
32, 10000, 300_4, 9, 226.3584499359131
32, 10000, 300_6, 0, 222.22700381278992
32, 10000, 300_7, 0, 220.1934244632721
32, 10000, 300_8, 0, 221.96219682693481
32, 10000, 300_5, 0, 221.85072588920593
32, 10000, 300_6, 1, 223.30136966705322
32, 10000, 300_7, 1, 222.4902572631836
32, 10000, 300_8, 1, 223.54943203926086
32, 10000, 300_5, 1, 224.17124843597412
32, 10000, 300_6, 2, 225.9633448123932
32, 10000, 300_7, 2, 225.96587419509888
32, 10000, 300_8, 2, 227.0466024875641
32, 10000, 300_5, 2, 230.52823972702026
32, 10000, 300_6, 3, 243.49710059165955
32, 10000, 300_7, 3, 244.59113764762878
32, 10000, 300_8, 3, 244.34478211402893
32, 10000, 300_5, 3, 236.7557942867279
32, 10000, 300_6, 4, 225.85135054588318
32, 10000, 300_7, 4, 225.41570019721985
32, 10000, 300_8, 4, 246.18564748764038
32, 10000, 300_5, 4, 260.8214728832245
32, 10000, 300_6, 5, 253.14659023284912
32, 10000, 300_7, 5, 261.90292167663574
32, 10000, 300_8, 5, 262.3026659488678
32, 10000, 300_5, 5, 229.96320152282715
32, 10000, 300_8, 6, 254.51612186431885
32, 10000, 300_6, 6, 360.889835357666
32, 10000, 300_7, 6, 439.3544936180115
32, 10000, 300_8, 7, 542.8130142688751
32, 10000, 300_5, 6, 1508.1678173542023
32, 10000, 300_7, 7, 1247.9702110290527
32, 10000, 300_9, 0, 229.64680647850037
32, 10000, 300_6, 7, 1507.9927394390106
32, 10000, 300_8, 8, 1030.8404121398926
32, 10000, 300_9, 1, 255.58413743972778
32, 10000, 300_9, 2, 362.52074790000916
32, 10000, 300_9, 3, 1078.905701160431
32, 10000, 300_7, 8, 1774.9126822948456
32, 10000, 300_5, 7, 1933.0422251224518
32, 10000, 300_9, 4, 277.7099959850311
32, 10000, 300_6, 8, 1938.0520389080048
32, 10000, 100_5, 0, 175.03138828277588
32, 10000, 100_2, 0, 177.97294735908508
32, 10000, 100_3, 0, 178.44040846824646
32, 10000, 100_6, 0, 179.3503394126892
32, 10000, 100_4, 0, 180.01192259788513
32, 10000, 100_5, 1, 166.04986333847046
32, 10000, 100_2, 1, 169.71462178230286
32, 10000, 100_3, 1, 170.839022397995
32, 10000, 100_6, 1, 171.28198766708374
32, 10000, 100_4, 1, 171.72416591644287
32, 10000, 100_5, 2, 168.0089395046234
32, 10000, 100_2, 2, 170.38250732421875
32, 10000, 100_3, 2, 170.9098675251007
32, 10000, 100_6, 2, 171.89949679374695
32, 10000, 100_4, 2, 172.03106927871704
32, 10000, 100_5, 3, 167.14389824867249
32, 10000, 100_2, 3, 169.94332003593445
32, 10000, 100_3, 3, 171.12960863113403
32, 10000, 100_6, 3, 171.84430193901062
32, 10000, 100_4, 3, 172.44952178001404
32, 10000, 100_5, 4, 166.96055340766907
32, 10000, 100_2, 4, 172.2919886112213
32, 10000, 100_3, 4, 173.52119421958923
32, 10000, 100_6, 4, 174.41045141220093
32, 10000, 100_4, 4, 175.274512052536
32, 10000, 100_5, 5, 176.2335023880005
32, 10000, 100_2, 5, 177.17235016822815
32, 10000, 100_3, 5, 177.45149755477905
32, 10000, 100_6, 5, 178.1103937625885
32, 10000, 100_4, 5, 178.63717246055603
32, 10000, 100_5, 6, 167.83862113952637
32, 10000, 100_2, 6, 170.80213713645935
32, 10000, 100_3, 6, 171.87324285507202
32, 10000, 100_6, 6, 173.01755285263062
32, 10000, 100_4, 6, 173.21039366722107
32, 10000, 100_5, 7, 170.31163334846497
32, 10000, 100_2, 7, 171.34998989105225
32, 10000, 100_3, 7, 172.83156847953796
32, 10000, 100_6, 7, 174.05020904541016
32, 10000, 100_4, 7, 178.7356662750244
32, 10000, 100_5, 8, 171.3050673007965
32, 10000, 100_2, 8, 183.80279922485352
32, 10000, 100_3, 8, 183.4179186820984
32, 10000, 100_6, 8, 177.14223408699036
32, 10000, 100_4, 8, 182.30467009544373
32, 10000, 100_5, 9, 176.03949809074402
32, 10000, 100_2, 9, 173.7827923297882
32, 10000, 100_6, 9, 176.95660543441772
32, 10000, 100_3, 9, 181.4564971923828
32, 10000, 100_4, 9, 174.96904349327087
32, 10000, 100_7, 0, 173.12302207946777
32, 10000, 100_8, 0, 172.2169725894928
32, 10000, 100_9, 0, 173.41283702850342
32, 10000, 150_0, 0, 180.9920313358307
32, 10000, 150_1, 0, 181.0293323993683
32, 10000, 100_7, 1, 170.14818811416626
32, 10000, 100_8, 1, 171.25653767585754
32, 10000, 100_9, 1, 172.8330421447754
32, 10000, 150_0, 1, 179.08646178245544
32, 10000, 150_1, 1, 179.47830438613892
32, 10000, 100_7, 2, 169.7151792049408
32, 10000, 100_8, 2, 170.12315821647644
32, 10000, 100_9, 2, 171.6736524105072
32, 10000, 150_0, 2, 180.38544178009033
32, 10000, 150_1, 2, 180.4453992843628
32, 10000, 100_7, 3, 172.14149260520935
32, 10000, 100_8, 3, 173.67410349845886
32, 10000, 100_9, 3, 174.51953387260437
32, 10000, 150_0, 3, 180.57539319992065
32, 10000, 150_1, 3, 179.63962984085083
32, 10000, 100_7, 4, 170.55587482452393
32, 10000, 100_8, 4, 171.52465319633484
32, 10000, 100_9, 4, 173.36943340301514
32, 10000, 150_0, 4, 180.38788962364197
32, 10000, 150_1, 4, 180.11167645454407
32, 10000, 100_7, 5, 171.30469226837158
32, 10000, 100_8, 5, 171.5086600780487
32, 10000, 100_9, 5, 173.36609363555908
32, 10000, 150_0, 5, 181.2407352924347
32, 10000, 150_1, 5, 181.73105573654175
32, 10000, 100_7, 6, 172.08370923995972
32, 10000, 100_8, 6, 172.06382393836975
32, 10000, 100_9, 6, 172.88760423660278
32, 10000, 150_0, 6, 182.01720571517944
32, 10000, 150_1, 6, 184.86237335205078
32, 10000, 100_7, 7, 175.04012036323547
32, 10000, 100_8, 7, 177.97304248809814
32, 10000, 100_9, 7, 181.00781846046448
32, 10000, 150_0, 7, 194.57446146011353
32, 10000, 150_1, 7, 187.79775142669678
32, 10000, 100_7, 8, 205.99953198432922
32, 10000, 100_8, 8, 188.33409214019775
32, 10000, 100_9, 8, 192.09577894210815
32, 10000, 150_0, 8, 236.0201575756073
32, 10000, 100_7, 9, 182.47886514663696
32, 10000, 150_1, 8, 329.03187012672424
32, 10000, 100_9, 9, 254.87968349456787
32, 10000, 100_8, 9, 295.63406133651733
32, 10000, 150_0, 9, 241.2073266506195
32, 10000, 150_1, 9, 260.62330174446106
32, 10000, 150_2, 0, 278.61177706718445
32, 10000, 150_4, 0, 295.6822466850281
32, 10000, 150_3, 0, 298.49098944664
32, 10000, 150_5, 0, 318.923721075058
32, 10000, 150_6, 0, 344.97707891464233
32, 10000, 150_2, 1, 346.7912697792053
32, 10000, 150_4, 1, 335.9787051677704
32, 10000, 150_3, 1, 337.8639373779297
32, 10000, 150_5, 1, 320.0243649482727
32, 10000, 150_6, 1, 340.31005024909973
32, 10000, 150_2, 2, 345.56633138656616
32, 10000, 150_4, 2, 331.4419665336609
32, 10000, 150_3, 2, 337.6477017402649
32, 10000, 150_5, 2, 320.55036187171936
32, 10000, 150_6, 2, 343.53542375564575
32, 10000, 150_2, 3, 343.95264077186584
